id,body,label
0,$aapl was $orcl in 1999... phones are just appliances that is what compaq and dell bulls did not realize in 2000.,0
1,"The tech sector grew 0.2% this quarter.Without Apple, the tech sector contracted 6% this quarter.#apple $aapl",0
2,$AAPL may get some action powerhour.....,0
3,"3/ No 2018 capital raise.  Rather than tweeting 420, Musk should have been raising capital based on $tsla third quarter results.  The money was there to be had and Tesla needed it.  $5 billion at least could have been raised with little dilution effect",0
4,"Tech breakthroughs take a backseat in upcoming Apple iPhone launch#AppleInc, $NASDAQ, $AAPL, #iPhone,...",0
5,Better integration into $googl with search. But nice $crm for customer service and CRM software,0
6,$TSLA fear pre ER returns tomorrow. Followed by euphoria post ER... maybe. Eventual bankruptcy but that’s too far ahead.,0
7,"This has to mark the top, right? All downhill from here. $TSLA $TSLAQ",0
8,$googl 1275,0
9,Wonder if Michael Knight had to pay $10/month to talk to Kitt in Knight Rider.  $AAPL #AppleWatchSeries3,0
10,Sold half $VIX calls. Kept half. Still short $TSLA. Sold a ton of $SPY and $QQQ puts. Covered some of /NQ shorts.. Raising more cash but still prepared for all out chaos.. Cash.. Gold... Shorts at this point with caution... Is king for now... All have a great day.,0
11,"And for the love of all things holy, don’t forget about $GM $FCAU #Taxpayer #Bailout from 2008.At almost $50B, #Congress gave Detroit enough money to buy $TSLA at their present-day market cap.So, I don’t wanna’ hear this red herring bullshit about subsidy-survival of Tesla.",0
12,"$QCOM cc - ""With this new agreement, we have re-opened the door beyond the modem for $AAPL; A lot of tension removed from the system as a result of this agreement. ASP's as we move to 5G, tend to be good for us. All developed economies will have 5G launch in 2019.""",0
13,"How much do #ford $GM #Toyota & the rest spend ""Maintaining"" unsold inventory? So is this a #feature or a #benefit --- for the competition that is#Tesla #teslamodel3 $TSLA $TSLAQ",0
14,"“ $TSLA is no more financially troubled then Berkshire Hathaway, Tencent, Google or Apple...to be financially troubled it would mean you can't raise $.”",0
15,I have a degree in forensic mathematical accounting. It allows me to sniff out bullshit anywhere you know. $tsla,0
16,$AMZN a miss on the butterfly here too.,0
17,Anyone got an update on the $GOOG - $GOOGL settlement payment?,0
18,Apple: On a relative basis (VS SP500) near Daily Resistance Trendline on Apple    $AAPL #Trading #investing #aapl,0
19,It's been my mission since day 1@Smack_Check @TroyTeslike @28delayslater And of course bae @BullTesla $tsla $tslaq,0
20,"Cars don't kill people, people kill people.Isn't that right @karpathy ?$TSLA $TSLAQ",0
21,$TSLA - Do the Chinese know that he was fined $20 million for securities fraud and called someone a Pedo 3 times on Twitter?,0
22,Don’t understand why the Saudis wouldn’t just wait to take $TSLA private until after the stock gets cut in half and on the verge of BK,0
23,Microsoft developing an AI processor $MSFT $AAPL $GOOG,0
24,$QCOM sues $AAPL over 6 patents. Downside cometh ,0
25,"If an investor bought shares of $tsla the day following IPO and lent them out until now, they would have realized ~135% in lending revenues, making reasonable assumptions about fee and rev split",0
26,HAPPY NEW YEAR 2016 #STOCKS #STOCKMARKET #TRADING $VIX $SPX $SPY $AAPL $FB $C $JPM — Penny_Pirate (penny_pirate) …,0
27,#Apple :Still into a tiny Daily Uptrend Channel with a Low Volume Trading Environment$AAPL #Trading #investing #markets #stocks,0
28,$AAPL Revert to mean play yields 26bps. Great job.,0
29,"Nice work, Doc!$SPY $QQQ $TSLA",0
30,"Baird's Ben Kallo on $TSLA: ""We believe the delayed ramp has derisked the stock, and incremental production data points should drive shares higher as TSLA works towards its 5k/week target""Is that b/c every m3 off the line is at a negative gross margin?",0
31,Share similar problems in manufacturing to this scale but solves platform (chassis) issue for Apple. I think it would need to be a take over or mixed management would fail. $tsla $aapl,0
32,$AAPL LMAO. Wow,0
