id,body,label
0,Is it too picture perfect? Steve Cohen's $AMZN trade:,
1,Very tough entries today felt a tad uneasy with open candles so took cash flow $googl $nflx,
2,"Update: the market so far has respected the high, and missed the open and low. We had an exogenous event that seemed to push down the low, but the forecast still appears to be useful.#ThursdayThoughts #stockmarket $APPL $amzn $fb $qqq $DJI $dia $spy #NASDAQ #NorthKoreaSummit",
3,$AAPL I got no words...,
4,$TSLA doji day.,
5,$aapl add to short @ 187.49,
6,$LCLP nice slaps coming in !!!! $XGTI $VMEM $NXTD $PSID $NETE $USO $UWTI $GOOG,
7,Loving every second of this....$TSLA,
8,@atee Completely different scenarios.  $FNSR has other business and are market leaders in that business. The $AAPL business is icing on cake,
9,Excuses why 2Q is so bad and why $TSLA needs to reduce guidance to 250-300k cars in 2019?,
10,And yet shorts are sitting on massive losses and longs are sitting on massive profits.  (Except Twitter $TSLA shorts who are all running huge profits)Here we are with $TSLA at record production and the #1 US automaker my market cap.RIP $TSLAQ,
11,"phones die, $ZAGG Reap in all profits. $NTDOY has part equity in Pokemon, profit is shared among$GOOGL $AAPL",
12,...a disappointment even as revs up 60% yoy and EPS of -2.37 a 22c beat. $VSLR $TSLA $RUN $SUNE $SPWR $TERP $CSIQ,
13,"we'll both get a stock like $AAPL, $F, or $S for free when you use the link below. Take the chance to make it",
14,"Come out from your hiding fanbois, disciples, you leader is calling you for war. $TSLA $TSLAQ",
15,"The bull case for $AAPL is 'expectations are low""  That changes quick when a stock gaps up 5%",
16,"Musk relies on other companies/individuals not blatantly violation law & releasing half baked, dangerous products so that a typical person presumes $tsla does the sameNow beta testing products in public squares that even $tsla denizens acknowledge isn’t remotely ready",
17,Futures diving$spy $qqq $indu $eem $fb $tsla $jpm $amzn $nflx $goog $nvda $btc $iwm $c $bac $tlt $gs $uup $v $aapl $cac $dax $ftse $gs,
18,"$TSLA active, relative volume: 2.14, 1H, 12:00 PM, #nasdaq $NDX",
19,"Spot on! most ""analysts"" are clueless on $TSLA and just pile on momentum moves. Even worse than $TSLAQ in some regards because people generally expect ""analysts"" to have some sense in their heads.",
20,"$aapl, Where did this groundbreaking news of an event that happened in q1 come from?Why no mention until $aapl gets to $89?  Smelly fishy.",
21,"Real consumers who reach out on Twitter often write in their own name and put their location to try and help to resolve their issue with $TSLA #Tesla. As Musk's executive mismanagement linked to fraud is further exposed & real consumers take to Twitter, expect more trolling.",
22,Wish was $AMZN #Dash button could press anytime get needed disclosure #Prime cust count co doesn't want talk about $LOW $RH $M @jimcramer,
23,Remember the hit pieces in early 2018? How many times did the media and $TSLAQ stock bashers scream about Model 3 production being down?Where is Model 3 production today?$TSLA #NotSellingAShareBefore2500,
24,Fire  and $tsla batteries cool  or should I say coal used to generate electricity lol  Coal it is Coal $tsla $tslaq,
25,"Speaking of 20-years from now:If one of you PhotoShop wizards were to do an Elon Musk / Phil Spector mash-up, I'll will you all my Hot-Pocket box-tops. (google Spector. I think you'll see the parallels. Spoiler: hair-plugs).$TSLA $TSLAQ @hotpockets",
26,$TLRY with this speed TILRAY will be number 1 market cap before $AMZN Amazon and $AAPL Apple within next month  And then we will have weed in everything we order..,
27,Shoulda bought some stock Friday  $TSLA,
28,@RedDogT3 I've been bored in $aapl since 1996.    Boring is good for an investor but must suck for a trader,
29,"Creepy CEO: “...the aide tasked by Musk with digging up dirt on Mr Unsworth, is said to have instructed Howard-Higgins to undertake the smear campaign “with Musk’s input and express authorisation”.”Does anyone think this was a one-off by Musk? I don’t. $TSLAQ $TSLA",
30,Thanks for helping humanity.$tsla $tslaq,
31,"If $AAPL is above 200 per share...the market is NOT ""tanking""",
32,"Yeah, let's see a REGULAR car even TRY opening its doors after a snowstorm!P.S. Ask about $TSLA range reduction in snowstorm temperatures.",
33,"There’s a Fed meeting which is expected to be less dovish, EM currency and $AAPL. There’s a lot of risk there, especially seeing phone sales weakness in the supply chain.",
34,can´t understand why $TSLA stock didn´t tank more on october cliff,
35,Live look at the Fremont factory while Elon is away in Thailand,
36,"Manufacturing PMI number is due Tuesday, Aug 3. It is expected to be the below 50 for the first time since Oct of 2016. The $SPY was down 3.7% that month going into the election. A number below 50 would indicate manufacturing sector in America is contracting. $SPX $DJI $QQQ $AMZN",
37,Our objective for every major news event is to isolate possible reasons for why that event happened and then follow the logic behind each to eliminate noise and conjecture. $AAPL's big news offered a pretty clear example of how this works #CutTheCord:,
38,@elonmusk obviously didn’t want to upsell the Model 3 $TSLA $TSLAQ,
39,I can't believe I'm saying this but iPad pro commercials look like Surface Pro commercials. C'mon $AAPL,
40,"Remember Sasi is now completely into Markets, watching the PATTERNS/PRICE ACTION/MOMO to give best plays for the Subs.Join us. $AAPL $FB",
41,"""Had I never gotten caught, I would not have cooperated with the government and civil litigants and I would probably still be a criminal today."" You're a terrible person, and you are a coward. You should be locked up. $TSLA",
42,"⁦@RampCapitalLLC⁩ we have a lot more pain it looks like on the weekly chart. Sell in May and go away! $spy $qqq $tsla $twtr $sq $aapl $vz OR BUY PUTS AND SELL CALLS IN UR IRA, 401k or Margin accounts for easy and fast ",
43,$TSLA Entry points around 248 or on a close above 50dma. #bullish #stocks #Markets #trading,
44,$TSLABBC News - Tesla adds Larry Ellison to its board,
45,TeleTraderNews: US #stocks open in the green as #Tesla leads gains $TSLA,
