id,body,label,sentiment
0,@zerofiltertruth @jeffhksar88 wait till Xmas. For $350 it's a great gift. A lot nicer than a rubber Fitbit. #AppleWatch $aapl,,1
1,"$GOOGL feels ready for a run-up. $767, 774-777 and the big 781.  Below 765 and it's 758 and maybe 750. A little momentum, and it could run",,1
2,"Shameless plug. Use my link and we both get something out of it. Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.",,1
3,"""it uses 35 giga... 35 billion... which is 35 giga"" -- someone went to @elonmusk's school of ""How To Perfume a Pig to Fool Idiots"" about an hour ago and is getting a failing grade. $TSLA $TSLAQ",,-1
4,"$KOOL is oversold and ready for a supernova run!!Only 1.5m float , $7+ easy money. GET IN $TWTR $FB $AAPL $MGT $TWX $T $TWC $BABA $NFLX $GE",,1
5,"$tsla's twitter army definitely has been cut loose. It usually takes 6 hours, now it did take 2 days. Well, there is that nasty time difference, and with the principal in the air in a Gulfstream ....",,-1
6,$FB $TWTR $TSLA $LNKD I don't believe in running across road blindfolded I don't believe in bottom picking I like paying Up for my stocks,,0
7,Wal-Mart follows in Amazon's footsteps with its own drone delivery test program. Amazing! $WMT $AMZN,,1
8,"What $TSLA does best is to keep people guessing whether they are (A) merely victims of massive incompetence or (B) are, rather, being scammed. Every day brings me closer to concluding (B) is almost always the correct answer.",,1
9,Tesla To Slash Workforce To Reduce Model 3 Price - WSJ  $TSLA,,0
10,"I think Tesla’s success and growing fan base shows that they do. Het off $tsla channels and the discussion changes completely, people love Tesla, period!",,1
11,"It definitely will be commoditized eventually. But it'll take years, possibly more than a decade, before it does, and Tesla has the first mover advantage. $TSLA is valued somewhat similarly to the way #Porsche is because of the gross margins they make, despite everything else.",,1
12,"$DCTH OVERSOLD 1.4M FLOATER FLYING TO THE MOON!  P.T. $4++++. Definitely banking on this one!!""""!! $FB $NTFL $TSLA $AAPL $BABA $MSFT $DIS",,0
13,$AAPL omg let it ride! If it doesn't rise post-earnings today it will post x-mas. I'm not selling. HODL!,,0
14,holding $nflx $amzn into tmrw,,0
15,$SPY w $AMZN and $MSFT also $NFLX all were on WL yest./ and a few more posts in feed $QQQ GL,,1
16,$AMZN Low Date=Jan-16-2015 Open=286.28 High=290.79 Low=285.25 Close=290.74 Volume=3478100,,0
17,I think that's what the silent bidders are thinking $twtr $amzn? $baba? $aapl?  $fb? Ballmer?,,0
18,$GOOG Companies are being vocal about their criticism of Google,,0
19,So cheaper than the $8k $TSLA are charging for tier autocrash hardware,,0
20,He’s commenting on $tsla all the time on SeekingAlpha.  Im pretty sure he’s being sarcastic.  It’s actually hysterical when viewed in that light.,,1
21,Everybody waiting for their $TSLA ?,,0
22,$TSLA doesn’t have what it takes to go alone on autonomous cars. $NVDA will dominate the space for 5-10 yrs or more,,1
23,Here's what Tesla Autopilot can see with the new v9 neural net. 10/18 $TSLA $tslaq,,1
24,"Sunday 9/30/18 at $TSLADebit A/R, Credit COGSProfitability secured.",,0
25,"It's Italy, no? $TSLA",,0
26,"Difficult to see $FB ever gaining meaningful hold in commerce. There’s such thing as quality of data; $AMZN is based on actual shopping behavior, they’ve been collecting it for years. Ads are ads & it’s a coin flip as to whether what people post in FB & IG even reflects reality.",,0
27,"you would get more if you type ""short $tsla since double digits"" ",,1
28,"Out $GOOGL puts even here at $0.70. Taking too long, markets trying to bounce back also.",,-1
29,"I said the equity in $TSLA will wind up as a ""zero"" & it will. I said NOTHING about timing, but clearly underestimated ""investor"" stupidity!",,-1
30,SOLD 15 CALENDAR in $AMZN (JUL),,0
31,"I doubt the factory will cost $5B, first of all. I'm expecting it'll cost $TSLA closer to $3B.Their FCF is more than sufficient to cover construction costs while they finalize the financing.",,1
32,"Hey #MrDOJ, maybe it wasn't such a great idea for CEO Elon Musk to go on @60Minutes & illegally promote off label use of the #Tesla $TSLA AutoPilot.On no, it's fine. Just promote it through a third party with no human in the car, only a dog. $TSLAQ@TheJusticeDept @FBI",,1
33,businessinsider: Everything You Wanted to Know About Chatbots But Were Afraid to Ask $FB $GOOG $GOOGL $AAPL …,,-1
34,"Here we are again with every $AAPL effort to climb being whacked. Funny how things can change just overnight. This looked poised to climb nicely today. #FAANG, $AAPL, $NFLX, $NVDA, $AMZN, $GOOG, $QQQ, $FB",,1
35,We don't talk about China now; only the happy talk from Enron Musk about North American faux deliveries! @markbspiegel @WintonCapPtnrs @zomgapocalypse  $TSLA,,1
36,$GOOG $AAPL chris20: Nice day for Bgnn...0003..up 200 percent...huge volume...,,1
37,This Tax move could hurt us guys!  Make voice heard. $FB $TSLA $DCIX $BTCS $BTSC @petedoom @nickelwurld @JamesHoward18 @VoiP4Biz,,0
