body,label
I guess $TSLA and $SCTY longs now hope for $AAPL buyout,0
Seems like #iOS 10.3 is saving users storage space with #APFS - $AAPL,1
$TSLA was able to trick the debt market - few buyers actually realized they bought highly subordinated debt w/o covenants w/o assets! Sad!,-1
$GOOGL filed US USPTO #trademark for:1,0
nice run $TSLA,1
So we launched private twitter for Blackbox finally here’s the day 2 results $SUM $ATUS $CRC $AMZN $M $PCG $YNDX $P $CSCO all machine picked,0
Carter & @Michael_Khouw think it might be time to hit the brakes on $TSLA,-1
"@CourtReagan C'mon Court, ask $M CEO if he orders stuff on $AMZN!! #IWould",0
Earnings Season is about to get real interesting! $NFLX $BAC $GS $IBM $UAL $AA $MS $COF $EBAY $MSFT $SKX $V $GE,0
$AMZN Amazon Introduces Counter in the U.S. – Where Customers Can Pick Up Their Package and Shop TooFrom our Stock News Alerts App,0
SELLing $SNAP following AOL&YAHOO to extinctionBurnt $1.1bn cash in last 5 quarters on failed projects & enriching its CEO$1.8bn cash left can last 6 quarters maxNo Strategic Value to anyoneBig competition from $FB $GOOG $AMZN $MSFTSubscale;Wrong business model & NO WAY OUT!,-1
$MSFT (-0.2% pre) Gates Makes Largest Donation Since 2000 With $4.6 Billion Pledge - BBG,0
"@morrajuana @markbspiegel  A bigger dummy,@benkallo , will be giving his BS pitch on $TSLA in a few on Fast Money.",-1
"Charlie Gasparino is one of the good guys here, folks. He is not here to please the long or short agenda, just report what he hears from credible sources with some color. Don't we want that? $TSLA @CGasparino",0
$AAPL wow! 111.11 open finishes at 103.34 -- 7.77 lower.,1
$TSLA current stock price: $308.85. #Tesla #TeslaStock #bot,0
Doesnt mean he is wrong. Funny you dont clarify this whe you quote a $tsla short no ?,0
"Inflation is muted. Buy with both fists today. $aapl, $fb, $amzn, $goog",1
"give the kid a break - everyone gets duped at some point in their investing career, better for it to happen early on. $TSLA",-1
$XLIT: HUGELY OVERSOLD...RSI=28...50MA=.75..BOUNCING$SIRI $TRTC $AAPL $C $NFLX  $MLCG $BETS $SUNE $MPCIQ $PSUN,0
"Okay, Teslarians: time to sell some $TSLA to cover those $NFLX margin calls.",-1
"Competition is heating up for $TSLA... or maybe not:Ford Motor ($F) said to be buying electric scooter startup Spin, according to Axios",0
$aapl they are buying the $150 and selling the $170,0
$AAPL on the move early.,1
$TSLA Everything is being dumped except this one. Go figure.,-1
Another win for $AAPL?,1
"$TSLA is currently producing cars at the following weekly rates: Model 3 (~2k/week), Model X (~750/week), Model S (~200/week).",0
$AMZN has expanded into healthcare. Medicine and dentistry. Competition for $HSIC Henry Schein.,0
@hmeisler and $AMZN trading at all time high.,1
$AAPL gap and go above the 50 160 is options build should do a touch or push by on level $NVDA gap and fade pattern we see all the time same,0
"Thank you! Appreciate the replies! One more quickie if you have a(nother) minute. Sounds like the new ""independent"" directors and the new Chairman are *appointed* by the current board, including the current chairman (for 45 days) Musk? Fair or not, is this accurate? tia, $TSLA",0
"$TSLA We don't know the accuracy of @Jalopnik story. But, @elonmusk & @tesla have a culture of suppressing negative news. In the coming weeks, I suspect that we are going to see news that some of the board members were shell shocked by what they find out about Tesla.",-1
"@TeslaAgnostic @jotiavionica @Fanaticinvestor The difference is ""electricity."" e-BMWs & Audis will skew much younger & teal lots from $TSLA",0
most active stock options Tuesday - $AAPL $AMD $NVDA $FB $TSLA $BAC $AMZN $MSFT $BA $MU $NFLX $ACB $COTY $F $CHK $PBR $EA $DIS $DWDP $TLRY $SQ $BHC $GS $GE $QCOM $FCX $NIO $T $CSCO $LBTYA $CGC $NKE $FCAU $TWTR $C $JPM $BABA $STNE $MS $X $FDX $SNAP $EBAY $BMY,0
"Is this you @elonmusk ?""young man to rise socially beyond his modest upbringing through a combination of talent, hard work, deception, and hypocrisy""""low-born man of superior intellect and æsthetic sensibility who possesses neither money nor social connections""$TSLA $TSLAQ",0
Now every time @apple does an update iOS crashes. Shame on you @tim_cook @AppleSupport $aapl No proper testing done prior to release.,-1
"I look forward to the 800 point swings on the DOW returning. Oh, the good ole days! $Tesla $Aapl $Cat $Hmny $Awx",1
"BTW, do you remember the name of the person who urged you to my $MSFT several times in the past few months?",0
"Hey @Tesla, had an accident in my new Model S and have been waiting for parts from you for since November. The shop cannot begin work. This is absurd and very frustrating. What can you do to help? @elonmusk",-1
"Here's a thought, can i get an $AAPL iPhone with a $FLIR One Pro and a $SQ $V reader?  DANG, should've patented that before tweeting LOLZ!",0
$GOOGL 'Cloud killin' it': Wall Street is raving about Alphabet's monster quarter. Here's what top analysts are saying.,1
Just 4 stocks added $77 or 654 points to the Dow--more than half of the index's 1150-point rally: $AAPL $BA $IBM $HD @philstockworld,1
$spx lets see what happens today... both $amzn and $google are not bad earnings itself if u look at it carefuly. either way not a time to be a hero today.. wait and see. watching $c $blk and if aapl ever falls below 200... its a buy to me.,0
Aug27: BEARISH $AAPL at 215.05  Stop: 215.83  Target: 213.91  Reward-Ratio: 1.46   This-Week: Neutral  This-Month: Bearish,-1
@CatalystTrading covered my $TSLA $153,0
$TSLA most interesting 10 weeks of the year  GF Announcement   Partnerships  Model3 (Mass)  Autonomous $410-$500,0
"Morgan Stanley must really want to build a position $TSLA, is all I can ever figure about some of that crap we see.  I bet short interest in Tesla is reduced further by the time of the next report",-1
@ShitFund @SAI just don't bet against  $amzn is the lesson learned again and again...,1
"@Juan_MillyDolla yeah, but people were pumping $AMZN and were thinking it was gonna do the same as FB. Haven't even looked at the numbers",1
Interesting stats. Median salary by company: $FB - $240k$NFLX - $183k$GS - $135k$XOM - $162k$WMT - $19k$AAPL - $55k$PFE - $89k$FDx - $50k$C - $48k,0
"$TSLA $FCX $NFLX $AMZN $WFT $LNKD yesterday, newbies, is what a bear market rally looks like.",-1
"14:55 ET Volume Leader #21 - AAPL 19,144,065 Apple Inc $AAPL 112.96 -0.99 -0.87% High today of 115.00 day low",0
"""Families that bag together, stay together"" -Book of @BagholderQuotes chapter 3, verse 14$TSLA",0
"I love you all! And I'll love you all even more when $TSLA morphs into $TSLAQ and my far OTM puts ""explode"".",1
"Premarket Top % Gainers: $AMDA 63%, $AMZN 18.4%, $JNPR 9.8%, $IG 7.7%, $FXCM 5.8%, $V 4.6%, $DUST 4.4%, $SBUX 4%, $ALU $JD $VOD $SWKS $DGAZ",0
"$AMZN has made another move to step up its grocery game, placing further pressure on Kroger and others.",0
$TSLA - the Demon Capital Barber of Palo Alto/Wall Street.,0
$TSLA the short bet is being challenged Friday n it could be 3rd successful trade so far but let us see,0
$AMZN 1694 reached. look out below.,0
How are they managing to keep $TSLA anchored to 225 ..like for 3 days straight .nice Profits to MMs,0
"Same can be said for its Disclosure Controls committee, which I do not believe existed previously (perhaps its a way of addressing the SEC settlement?)$tsla $tslaq",0
"""Does abusing #autopilot make bad PR? I'm not sure its clear. It aggravates me as I get to hear more about how Tesla's are suicide vehicles, but it also results in free advertising and few people will miss the fact that the car remained safe...""$TSLA #predictableabuse",-1
"Lol you right $tsla went from zero to 4,500 a week in no time lol  Great chart $tslaq",1
 TODAY'S ACTIVE FLOW: $BAC $AAPL $HD $AMD $MU $FB $NFLX $ROKU $QCOM $NVDA $MSFT $HD $CSCO $GE $SQ $JPM $T $C $ZNGA $WFC $TSLA $AMZN $SNAP,0
Tell me a company better positioned for  the weak U.S. dollar and low repatriation rates. $AAPL completes 2/3 of sales overseas and sits on a $268.9B cash pile growing by >$50B per year. @StockTwits $QQQ $SPY,1
Don't talk about the drug-running ships or Musk's affair w/ El Chapo's wife; talk about the fake truck $TSLA $TSLAQ,-1
Would like to see $TSLA holding $304-$305 if I am going to bet on upside into the end of the week and next week's truck event,0
Lost 60% so far on $aapl puts.,1
I would sell only to get another position with more time. $TSLA looking like $150 in about a month,0
$AAPL #Update [Apr-20 180 #Calls 3 C] $AAPL Up +45%  First alerted at:4 Now at:5.8  @sleekOptions,0
"RT $NFLX HFT Algos triggered BUY in SIGMA-X, CROSSFINDER, ATS, LX @ 09:48, P/T 122.00 #Quant $MSFT $GPRO $GOOG $AMZN  $FB $AAPL $TSLA $QQQ",0
Stocks To : $ZEN $SHOP $GOOGL $MSFT $GE $EA $SONO $SNE $BA $CELG $DIS $NFLX $WIX $GDDY $SFLY $SGMS $ATVI $AMZN $CMG $JPM $UAL $TTWO $TPR $AMAT $REGN,0
Lyft Is Another Step Closer to Driverless Ridesharing @themotleyfool #stocks $LYFT $GOOGL $GOOG,0
#Bearmama $AAPL IF the monthly chart is printing the abc and IF decides to play out then lifetime 618 is a t 96 and 1382 -1618 around 100-78. Earlier during 2018 sell off this number had come up along with $ES_F to 1800 $AMZN 800 etc. $QQQ $DIA #theory.,0
Top #moneyflow for #sp500 today$GE $T $MON $XOM $NKE $MSFT $GOOG $EIX $NVDA $COST ...,0
if not weird selling of $aapl today market would have seen a solid rally @15minofPham,-1
$GOOG $AAPL vantillian: $SAGD something up here 50k volume with high,0
"Remember, $NFLX is king because of content. What if $AMZN spends the $$ to buy up content? They have other businesses to support streaming.",0
"Apple, median gain in March last 10-years = +10.17%  Premium Members long $AAPL $SPY Different this year?",0
$MSFT broke above a small wedge pattern today,0
$TSLA stop loss is in. not fking around here. locking it in if they drop it a hair,-1
$spy $gspc $aapl $nflx $goog $tsla Slack stock gains after MKM initiates at buy,1
Shouldn't be if you're an $AMZN stockholder.,0
