id,body,label
0,"The Model 3 May Be A Mess, But Don't Short Tesla Yet $TSLA",1
1,That sell off last week on $AMZN dropping grocery delivery fee news was silly. Could have been good add opportunity but I didn't take it.,0
2,This is a great way to measure the extent to which $tsla stiffed their customers! TY! I was more speaking to determining whether or not they ALSO benefitted by continuing to borrow against cars that were sold.,-1
3,"Despite the end of the fucking world, $FB under 100 and $GOOGL under 700 LEAPS look interesting...",1
4,"lol Musk tells employees $TSLA M3 will be in full production by end of 2017, must be running gag in the office",-1
5,Apple no longer makes hit products... $AAPL #NarrativeViolation,-1
6,"$TSLA confirms it'll use $NVDA parts, marking a small but significant boost for the chipmaker says our #semi analyst",1
7,"Yes, and #Tesla will buy their factories at less than 10 cents on the dollar, copy/paste Grohmann machines for less than $5B in total CapEx, and quickly ramp to millions of units per year by 4Q20, way before even Bulls expect.$TSLA #NotSellingAShareBefore2500",1
8,"My view : $SPY $SPX Bulls have forgotten about impeachment , DOJ investigations on big tech companies $AAPL $GOOGL , Whistleblower, No China deal, and no future positive catalyst. Market falls lower before we see ATHs. ",-1
9,$AMZN $FB $TSLA $PCLN buy buy buy ; so what if retail sales suck ... $QQQ  pump it up,1
10,"How do you know you're in a bull market? When all boats are being lifted. This is a 1-year chart of Heico, Micron and Apple. 3 different businesses. 3 great stocks this year. $MU $HEI $AAPL",1
11,$TSLA if this can miraculously retake 246.50 then maybe its going to rip regardless #stockmarket #invest #trade,1
12,Mega cap $AMZN sulking while the small caps $IWM $TNA finally get to the party,1
13,Only the one that is luckily employed & isn't looking for a job can be so out of touch w realityDid you see lines for $AMZN warehouse jobs?,0
14,"""Apple is reworking Maps to be less utterly dire"" (I know it's Monday, but we already have the 'Can $AAPL survive this?' Award of the Week.)",-1
15,"Recalling @GuyKawasaki wisdom of nearly 30 years ago - at $AAPL when things are bad, they're never as bad as we think, and vice versa.",0
16,"Structurally unprofitable companies are WORTHLESS.Period.You can crow about 'big sales' all you want, but this company has $14 billion in junk-rated debt and is NEVER going to turn a profit. *The dye is cast.Hope this helps!$tsla $tslaq",-1
17,$AAPL 126.85 - Bumps PT to $145 (from $135) - Reiterates Buy-rating -Argus,1
18,Backing up Reveal's expose on Tesla's lack of concern about employee safety.  Here's a clip from @CNBC about $TSLA workers passing out on the Assembly Line last year:,-1
19,$TWTR $FB $TSLA all up on NO news. Momentum stocks to take eventual hit? $VIX showing downside for stocks ahead of weekend ^TW,-1
20,$AMZN gonna be green today,1
21,Did $AMZN announce a new CFO? ,0
22,"Watching explanations of $AAPL run.I disagree with all of them.We are in a market in which many investors (quants and others) products and strategies worship at the altar of price momentum.This means... they ""buy high and sell low (as they did in Nov-Dec). @cnbcfastmoney",0
23,SILVER ratio is suspenseful. a sudden event would precipitate the launch. $AMZN buying silver mines?  $SLV,0
24,"$TSLA may close above this but we have a lower low at $219.50.  That said, the important number is the close.",0
25,"Nah. $tsla probably filed 2 months ago but the courts are the problem, slow to accept the paper work. Just like dmv",0
26,Bought some $AMZN here at 385,1
27,"Thinking kind thoughts (really) about the $TSLA true believer who insisted that #Musk's next promise will be the one that takes. I blocked him after a while as it got boring. Not going to unblock him now, that would be rude. $SPX $NDX $IWM",-1
28,"$IPI Short Sales Updated Sunday, February 7, 2016 9:59:22 PM $TLT $GDX $CSCO $AMZN",0
29,"$AMZN looks ready for a run to $1,000 again",1
30,"If $TSLA holds $342 this morning, shorts are in deep water with no lifeboat.Timing with Martin Tripp tweets is just too odd...@KenCuccinelli once told me that there is no such thing as coincidences, and I think he was right.",-1
31,Emerging Markets $EEM Finally on a Daily Sell Signal Until Its Not ! $BABA $AAPL $SPX $NDX $RUT $SPY $QQQ $IWM,0
32,$FB $AMZN $GOOG / $GOOGL and $NFLX enjoy the ride folks! Why look for reasons when there are no reasons? $QQQ $SPY #stockmarket #stocks $DIA,1
33,$NFLX Apple’s Netflix rival might be unveiled later this year alongside iPhone 7 $AAPL - BGR,0
34,.@clusterstock Its stock price going up and up and up? Saved you a click. $AMZN,1
35,Typical $tsla trading day low voluand easily manipulated up 92 basis points just because the stock is close to an option strike price )pin) $tslaq,-1
36,$AAPL a break of current low $108.52 will break $108 today in coming hours.,0
37,Walmart's new $3 billion weapon could pose a huge threat to Amazon  $WMT  $AMZN,0
38,"$TSLA Fair value is whatever the market pays. To predict what a stock will do is great investment, what you said is just wishful thinking. Tesla should be fined for polluting wall street by smoking shorts for 5 years straight. You are wrong for years now, Tesla stronger then ever",1
39,Great day in the #StockMarket - Went red on $AAPL just wouldn’t bounce off that marked level.Couple minutes later $BABA setup perfect off a marked level for a nice green day!Thanks @trickmitch1 for teaching this system. #TrickTrades ftw - 1 TRADE AWAY,1
40,"Some numbers.For Q2, my S/X production estimate based on METI Li-ion production data came out to be 14,769, vs. 14,517 reported. For Q3, 22,650 est. vs. 16,318 reported.#StealthRecall #ProjectZeus #ProjectThor #ProjectIndra #ProjectRaijin$TSLA $TSLAQ #Tesla #CYAZ #テスラ",0
41,"Somebody has a positive outlook, over 1,154,000 shares of Twitter $TWTR purchased from 1:10pm-1:35pm  $FB $AMZN $GOOG $NFLX $AAPL",1
42,I believe he sold the rest of his holdings last year around $100 $NFLX and he also sold his $AAPL just under $100,0
43,@BBCWorld @deepikapadukone @iHrithik @ActuallyNPH @POTUS @ConanOBrien @sachin_rt @PMOIndia @imVkohli @akshaykumar @NASA @espn @KevinHart4real I want to know your opinion on @WhoTrades about forecast by Mark Holder about $TSLA,0
44,In case you haven't noticed what's good for Apple  $AAPL  is good for the market,1
45,Broker : margin callMe:  $TVIX $AAPL $OPK $HX $QD $SOGO $AMZN $NFLX $FB $C $GS $JPM $intc $QCOM $IQ,0
46,@CHPYXO - Hacked@armyofplanters - Susp@elonpromised - J&B@BossHoggHazzard - Susp@TruthDissemina1 - J&B@URPaul - J&BSuppressing those who try to expose the truth simply draws more attention.h/t @ravenvanderrave$TSLA $TSLAQ,-1
47,$TSLA #Model3 car looks sweet and stock is blowing up $245 +6%,1
48,Looks like the suppression algo's r in full swing today. Some hedge fund somewhere wants $AAPL right where it is!,0
49,Oh and I actually lost more in $VRX as posted but $MSB and $CLF both return 700%+ and $Googl paying me 7figs with SS posted pays me plenty,1
50,$SURG  whispers of press pending.. BIG BIG BOARD MEETING MONDAY  @surgeholdings #MONEYGANG #TEAMBILLIONAIRE #TEAMFAM $TSLA $AAPL $FB #FOREX #BTC #HEDGEFUND @papaspoppinpeny @frontpagestocks #Pennystocks #CBD @smallcapbulls @ladiesofpstocks @DaPennystockDon @IrunPennystocks,1
51,"@CNBCFastMoney Stiffl guy on $TSLA...""we can debate GAAP vs non-GAAP"".  Debate?   They are capitalizing compensation exp via options.",-1
52,Read the terms to use $tsla IP and u may understand a bit more,0
53,"$TSLA $TSLAQ don't miss, Maxwell was structurally insolvent very recently - in their Sept 30 2018 report, they had $23M in cash, and had to liquidate their High Voltage division in December to generate some cash to survive! see attachments next tweet",-1
54,Best bet for $TSLA continues to be a buyout w/ Apple@elonmusk would make some great iPhones as new CEO of AppleHe’d have real cash.W/ out that I still don't think the co if financially viable and goes to 0.,-1
55,$GOOG $AAPL BCNstocks: $ONCI at .0012! - BCNstocks,0
56,$AMZN $ADBE $BA $FB $MSFT $AAPL own the #USA #Govt They r too big to fail. Dont believe idiocy of the talking heads or pseudo-experts,1
57,"Watching $AAPL, $SPY, $AMD, $MSFT at open",0
58,"""Last question. So Larry, in the last 40 years which of the 6 recessions did you predict?""$SPX $GDX $USDJPY $TLT $AMZN",0
59,"$AAPL been at the Apple Store since 11:15 am,they have been trying to swap my jet black 7 with a new one, system doesn't allow it,still here",-1
60,$AAPL at 8 SMA as we speak. See if we get a bounce here. Else can see 21 SMA at 128.31.,0
61,Forget all this stuff. Trade the market like it's a Casino. Take your money and profit where you can find it. If you made $10K from a $TSLA trade and did it 5 times do you care about their fundamentals? Not me. Keep doing what makes you money.,0
62,$AMZN IWM slightly outperforming the SPY currently Earlier it was the other way aroundIWM the  to this market IMO,1
63,"Can't say I expected AR to be the interesting figure this Q... Still though, I tip my hat to $TSLA for pulling this off.",1
